product_title,source,product_url,product_price,product_photo,product_star_rating,product_num_ratings,asin,position,device_category,price_missing,has_discount
"Lenovo IdeaPad Slim 3 Chromebook 14"" 2K Touchscreen Laptop",Best Buy,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:14670569720637338315,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",199.0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRn7pHSQMH1Q0mMxXKUf9VZPXt8XhReZkffQxFSeZ4gVwBhmXV9BN9bJR2AblYax3cFNjmMmVRjThOClNgTYZATl_6lmMzmne35--_64lGcZFgaljbqvpshiA,4.5,64.0,14670569720637338315,1,laptops,False,False
Dell Inspiron 15.6 FHD Touch Screen Laptop Intel Core i5-1334U Intel UHD Graphics,Walmart,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:14491102001796196403,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",379.0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR4ATJVEhuXbquRWq-y8wxt-4UWBvHtQLEe6K7TqdcGtRbIqTmXEZifTUtYZl29jhyUd-qfDVwdM8kjJ7NpMQkL6leovbX8iUYnrL7LSHDjQpV8wl3gV7okMw,3.8,11.0,14491102001796196403,2,laptops,False,False
Apple MacBook Neo 13-inch A18 Pro chip,Target,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:8071037808297078357,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",699.99,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRQzGk0Ga4U-Tpx1R2_pg5ua3eUxzlsGuJQQqjdzZyzcm96lTVLAJ3VhQ0AJ8uh0bKS6VrmR4N8MiayiP3bNR4VkH3WgeXVPg,4.8,5400.0,8071037808297078357,3,laptops,False,False
"HP OmniBook 3 14"" Laptop Copilot+ PC Snapdragon X",Best Buy,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:7730384411543890453,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",599.99,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTvOW8yRj2BzC5_xTLYgjQ3Qg-4-XYd9m8fmmv8okS-FLaROwJ5Nd7_HF1CMhyTuDAPr2G7SfSN8rdSqWUA1srQlpO5P9fGI7TVB8Kfwy1b2vIrec2M7bwn,4.7,24.0,7730384411543890453,4,laptops,False,False
"HP 14-dq6101dx 14"" Laptop Intel Core N150 4GB RAM",Walmart - Premium Electronics Shop,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:14640552118530053526,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",239.97,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR8YIlf2tzhEYnB18MSSMi7oykUDYm0hoBpeZZMvxs65EUh0tUzTpafsQTBjjkxBdbbx3iR8SEPgAfw8XEXmEdAqCDpN2TnRvFvFWnLG0USIgdu3lAyN6gC,4.4,136.0,14640552118530053526,5,laptops,False,False
Razer Blade 16 Ultra-thin 16-inch AMD gaming laptop,Razer.com,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:12331601033613628286,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSUDbvbM42OFfXOHoBCIRDi6Yu5fRg4CIlL2p2u9K5CoYFOisMz1E8Vj651bFGXuysDy1FRlqz813a7HcwPqaJmEAIai11-Jj4SCtFiaCJ3h_tCfGi9Kx5Hmg,,,12331601033613628286,6,laptops,True,False
"ASUS ROG Zephyrus G16 16"" 2.5K OLED 240Hz Gaming Laptop Intel Core Ultra 9 285H",Best Buy,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:14669235653150624691,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRWZfX89sBsbqfVNZbmfEUrSnPGlrF5891114CZXaCRde6_m1mtgyUohnAcsv6jUsDFE0mEfyPuRLYbO9dN82pAUn1SsrbmpgRuY0FbpG5S,4.6,252.0,14669235653150624691,7,laptops,True,False
HP OmniBook 3 17.3' FHD Laptop Intel N150 4GB RAM 128GB UFS 2-Year HP Care Pack with Accidental Damage Protection,Sam's Club,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:11016576585520376434,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",471.9,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ2v7Kmy7B8UL2hdcMVS0gHSbc1EJ87UhdTIlTYKkh-ty5VtwOD1jIlX-RlW2RPXg3lHAqbhyYKLkeciL3ZS5cmSnz31nHeqn2Jb2Mw9B8yZXmSR5cWpVjdJg,3.5,11.0,11016576585520376434,8,laptops,False,False
"New Lenovo Ideapad Slim 3 15itn9 15.6"" N150 1.0ghz 8GB RAM 128GB SSD",Best Buy,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:5912188204364081584,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",349.99,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ44ja5bfvhmbmV13xecyFaf-mrplNphq2AbtRBBf24EObZB7e5lon82CZ2FFMvGf7vUJYp64goMN9OKLtJgnwfzC8XEP3ZkGneEMTzWX0_MpugQpA8obnh,4.7,19.0,5912188204364081584,9,laptops,False,False
New Asus Rog Strix G16 g614fm Ryzen 9 9955hx 2.5ghz 16gb RAM 1tb Ssd Rtx 5060,Walmart,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:134410787128582895,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRLRfAItRqPnhyd-GNTN86oOuehTLpGVNDlZGUlzQNcnI_g8GVQ1iZCfBcXzhgCTkzJnkaSMEh7Uh6bkhIAbOmm__fKn58w0ZziE8DjE-oUfy3RIq9nABnk,4.3,92.0,134410787128582895,10,laptops,True,False
15-inch Apple MacBook Air M5,Apple,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:7433602620420982143,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS2EFjlIkAhlRW5sEMIAQboFPfaFvZjL0r-4KPm3jMKrRrPu_BlaWZFc9c9h5rgLqmQkw7VUwD17HET5t6FSZ1CL7r_AXPzGb2TOF8Yhi89PwNIRIjTOKe2zg,4.9,1500.0,7433602620420982143,11,laptops,True,False
"Acer Chromebook Plus 516 Laptop – 16"" WUXGA Display Intel i3-1315U – 8GB LPDDR5 – 128GB Storage– Wi-Fi 6E",Best Buy,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:4209086973145175067,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",549.0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSggNAF5Q_vmKnLOZdW5VeN__DpiWOjrW2bmmPve2pMDr0CSeBt8rDzw39P00pTDlSV1APzR_CAjd1zKYRyAG3EEXMlhErSGJk2Nixw1m0E,4.5,176.0,4209086973145175067,12,laptops,False,False
"Lenovo IdeaPad Slim 3i 156"" Full HD Laptop Intel Core i5",BJ's Wholesale Club,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:10618966046197843753,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",549.99,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTG-AuCW1LtsaSjuk58qJnWNJaYTqYtT1leHvEiHYNzhz7GWzzhoQvLRBfpd3-Wj3T736dhY5KD1My8GdjouQfISKBJ-xVhanZxvoGUlMn32hQZoMTLqHuE,4.8,158.0,10618966046197843753,13,laptops,False,False
New Lenovo Chromebook m Cosmic Blue Laptop MediaTek,Best Buy,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:1949575411386417208,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",299.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRvcT4ucS02jiBnSFwiURbbRfaJZ9JDNbn5QAQPIt_cXedXt11q_5mXtNcI-bMSHd6MNIuCzWeDIZe5KrJ5n_aIF3FG2rFz7PRdOqXmGa8fhGnx_HFeQkp_0A,,,1949575411386417208,14,laptops,False,False
13-inch Apple MacBook Air M5,Apple,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:16454815401739215347,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQDjijUdkewC1uwmcxlgI0gGYrzuPta2O_4pwxdjXAE4fKzuQwPaoa1R0DIFDmd60wAppeWh_p-zkdh6muxOJxEtZQpZ3Jj-m5wjZACO0wtxeEcgWXgmoe6Xw,4.9,3000.0,16454815401739215347,15,laptops,True,False
"Microsoft Surface Laptop 13.8"" 2K Touchscreen Snapdragon X2 Elite 2026",Microsoft Store,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:15099909030512845773,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRJwWNfbEq3j6-cE2As-V_X_wTbWvlNMH_AZtCqxp-0JHKNUEWQMEyFacC4AtnU2vKot6KNabCI_WhUWZTo7Rx6wYlO6cOv,4.8,39.0,15099909030512845773,16,laptops,True,False
"HP 14"" HD Laptop Intel Processor N150 4GB RAM",Best Buy,"https://www.google.com/search?ibp=oshop&q=Laptop&prds=localAnnotatedOfferId:1,catalogid:5027405378717285458,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",258.22,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQDxJmx7VqVRPOTSZc8X6zSkmvm7uiLQry_-OvikvVavAiX1jjGmW3WgQ8n179HuJk_H8m5lpzmCsA86R9je1OdIpfyZ98f5CujHq0WIbI,4.6,47.0,5027405378717285458,17,laptops,False,False
